NumIters,Seconds,LearningRate,l2_error
0.0,0.308178,0.0001,141.384
1.0,0.593971,0.0001,146.14
2.0,0.87935,0.0001,160.581
3.0,1.16409,0.0001,134.908
4.0,1.449123,0.0001,149.676
5.0,1.733928,0.0001,141.143
6.0,2.01892,0.0001,119.742
7.0,2.303751,0.0001,141.398
8.0,2.58972,0.0001,169.561
9.0,2.874371,0.0001,145.82
10.0,3.160603,0.0001,131.231
11.0,3.445482,0.0001,190.785
12.0,3.73117,0.0001,150.023
13.0,4.01669,0.0001,173.284
14.0,4.302947,0.0001,130.975
15.0,4.588127,0.0001,136.462
16.0,4.874563,0.0001,126.747
17.0,5.159847,0.0001,127.204
18.0,5.445883,0.0001,141.464
19.0,5.731379,0.0001,130.128
20.0,6.01784,0.0001,111.594
21.0,6.303513,0.0001,115.341
22.0,6.589261,0.0001,139.718
23.0,6.874105,0.0001,156.471
24.0,7.159872,0.0001,129.7
25.0,7.445605,0.0001,167.826
26.0,7.731153,0.0001,154.557
27.0,8.016974,0.0001,114.755
28.0,8.302283,0.0001,120.074
29.0,8.588225,0.0001,161.157
30.0,8.873777,0.0001,175.371
31.0,9.159693,0.0001,155.846
32.0,9.445448,0.0001,128.733
33.0,9.731487,0.0001,122.585
34.0,10.016815,0.0001,143.893
35.0,10.303655,0.0001,136.223
36.0,10.588948,0.0001,111.242
37.0,10.87408,0.0001,165.264
38.0,11.160311,0.0001,120.043
39.0,11.446174,0.0001,164.365
40.0,11.732225,0.0001,171.023
41.0,12.016993,0.0001,131.184
42.0,12.303484,0.0001,129.702
43.0,12.589347,0.0001,171.431
44.0,12.875593,0.0001,128.108
45.0,13.160332,0.0001,139.177
46.0,13.446876,0.0001,112.894
47.0,13.732584,0.0001,119.237
48.0,14.019449,0.0001,152.567
49.0,14.305181,0.0001,135.488
50.0,14.591377,0.0001,127.798
51.0,14.87694,0.0001,134.846
52.0,15.162848,0.0001,121.726
53.0,15.448403,0.0001,189.109
54.0,15.734837,0.0001,124.103
55.0,16.020776,0.0001,108.211
56.0,16.30601,0.0001,140.993
57.0,16.591127,0.0001,136.63
58.0,16.876237,0.0001,131.128
59.0,17.162027,0.0001,192.559
60.0,17.447419,0.0001,152.246
61.0,17.733064,0.0001,160.161
62.0,18.018883,0.0001,137.936
63.0,18.30559,0.0001,144.6
64.0,18.591071,0.0001,144.014
65.0,18.876986,0.0001,144.813
66.0,19.162489,0.0001,170.504
67.0,19.448413,0.0001,136.111
68.0,19.733482,0.0001,130.148
69.0,20.019785,0.0001,154.248
70.0,20.305062,0.0001,129.609
71.0,20.591361,0.0001,151.696
72.0,20.876586,0.0001,129.717
73.0,21.162992,0.0001,128.729
74.0,21.448405,0.0001,116.86
75.0,21.733779,0.0001,131.833
76.0,22.019729,0.0001,116.872
77.0,22.305166,0.0001,154.155
78.0,22.593884,0.0001,155.548
79.0,22.882323,0.0001,149.212
80.0,23.171037,0.0001,141.719
81.0,23.459032,0.0001,149.347
82.0,23.747575,0.0001,156.857
83.0,24.035629,0.0001,122.894
84.0,24.324077,0.0001,202.262
85.0,24.611914,0.0001,149.859
86.0,24.90065,0.0001,155.534
87.0,25.188591,0.0001,163.926
88.0,25.47726,0.0001,157.79
89.0,25.765643,0.0001,160.4
90.0,26.054213,0.0001,192.364
91.0,26.342272,0.0001,135.545
92.0,26.63036,0.0001,145.308
93.0,26.917616,0.0001,172.01
94.0,27.206047,0.0001,144.051
95.0,27.493312,0.0001,165.867
96.0,27.78104,0.0001,108.365
97.0,28.069862,0.0001,172.573
98.0,28.357768,0.0001,158.457
99.0,28.739106,0.0001,145.851
100.0,29.027413,0.0001,145.905
101.0,29.315397,0.0001,114.424
102.0,29.603656,0.0001,133.603
103.0,29.89144,0.0001,201.855
104.0,30.179616,0.0001,154.175
105.0,30.466989,0.0001,122.672
106.0,30.754909,0.0001,166.186
107.0,31.043571,0.0001,137.466
108.0,31.331622,0.0001,187.969
109.0,31.620548,0.0001,143.652
110.0,31.907974,0.0001,137.46
111.0,32.197065,0.0001,175.11
112.0,32.484721,0.0001,148.517
113.0,32.772397,0.0001,117.026
114.0,33.060677,0.0001,135.813
115.0,33.348763,0.0001,136.491
116.0,33.637725,0.0001,222.956
117.0,33.925863,0.0001,116.913
118.0,34.21462,0.0001,138.459
119.0,34.502651,0.0001,143.931
120.0,34.791347,0.0001,110.442
121.0,35.079087,0.0001,120.859
122.0,35.36779,0.0001,105.321
123.0,35.655365,0.0001,120.363
124.0,35.944427,0.0001,178.608
125.0,36.232694,0.0001,141.671
126.0,36.521728,0.0001,136.618
127.0,36.809773,0.0001,131.451
128.0,37.098093,0.0001,128.619
129.0,37.386209,0.0001,133.953
130.0,37.674478,0.0001,161.84
131.0,37.962537,0.0001,147.025
132.0,38.250936,0.0001,144.578
133.0,38.539087,0.0001,114.682
134.0,38.827815,0.0001,141.402
135.0,39.115905,0.0001,131.322
136.0,39.403887,0.0001,131.207
137.0,39.692702,0.0001,121.218
138.0,39.980077,0.0001,146.434
139.0,40.26888,0.0001,154.339
140.0,40.557215,0.0001,120.641
141.0,40.846056,0.0001,173.772
142.0,41.134018,0.0001,175.008
143.0,41.42323,0.0001,126.041
144.0,41.711144,0.0001,167.325
145.0,42.000321,0.0001,137.343
146.0,42.288507,0.0001,155.919
147.0,42.577975,0.0001,156.593
148.0,42.866214,0.0001,159.033
149.0,43.15482,0.0001,121.768
150.0,43.442929,0.0001,122.533
151.0,43.730604,0.0001,149.34
152.0,44.019685,0.0001,123.417
153.0,44.308277,0.0001,153.9
154.0,44.596953,0.0001,145.872
155.0,44.885118,0.0001,171.971
156.0,45.174121,0.0001,134.725
157.0,45.461923,0.0001,162.373
158.0,45.750681,0.0001,174.667
159.0,46.038827,0.0001,142.786
160.0,46.327852,0.0001,130.351
161.0,46.615881,0.0001,162.93
162.0,46.904557,0.0001,181.271
163.0,47.192942,0.0001,133.954
164.0,47.481605,0.0001,135.995
165.0,47.770184,0.0001,111.099
166.0,48.059602,0.0001,138.376
167.0,48.347549,0.0001,208.641
168.0,48.636224,0.0001,148.561
169.0,48.924258,0.0001,149.451
170.0,49.213222,0.0001,130.636
171.0,49.501585,0.0001,172.261
172.0,49.790691,0.0001,152.277
173.0,50.079128,0.0001,113.192
174.0,50.367416,0.0001,107.503
175.0,50.654484,0.0001,170.462
176.0,50.942661,0.0001,123.057
177.0,51.231153,0.0001,119.678
178.0,51.519713,0.0001,138.452
179.0,51.808892,0.0001,147.148
180.0,52.096463,0.0001,185.954
181.0,52.385133,0.0001,132.924
182.0,52.67294,0.0001,149.949
183.0,52.962151,0.0001,141.349
184.0,53.249918,0.0001,163.192
185.0,53.539142,0.0001,181.592
186.0,53.82708,0.0001,140.734
187.0,54.115614,0.0001,131.226
188.0,54.403667,0.0001,131.104
189.0,54.691153,0.0001,135.086
190.0,54.980104,0.0001,180.972
191.0,55.271126,0.0001,127.929
192.0,55.563084,0.0001,139.271
193.0,55.854137,0.0001,149.927
194.0,56.14576,0.0001,113.708
195.0,56.436321,0.0001,175.3
196.0,56.72781,0.0001,145.529
197.0,57.018569,0.0001,148.542
198.0,57.310225,0.0001,137.968
199.0,57.70303,0.0001,141.859
200.0,57.995506,0.0001,196.358
201.0,58.286156,0.0001,138.187
202.0,58.577821,0.0001,149.336
203.0,58.868217,0.0001,147.106
204.0,59.1599,0.0001,132.875
205.0,59.450669,0.0001,123.46
206.0,59.742681,0.0001,127.799
207.0,60.033462,0.0001,135.233
208.0,60.325398,0.0001,131.912
209.0,60.616761,0.0001,123.332
210.0,60.908699,0.0001,130.18
211.0,61.199978,0.0001,143.151
212.0,61.491907,0.0001,139.35
213.0,61.781945,0.0001,161.899
214.0,62.073168,0.0001,136.699
215.0,62.363893,0.0001,152.57
216.0,62.65541,0.0001,140.421
217.0,62.946472,0.0001,150.888
218.0,63.239598,0.0001,122.939
219.0,63.53101,0.0001,161.155
220.0,63.82304,0.0001,127.274
221.0,64.114209,0.0001,154.59
222.0,64.405285,0.0001,148.806
223.0,64.697108,0.0001,127.727
224.0,64.989318,0.0001,140.596
225.0,65.280827,0.0001,145.044
226.0,65.571364,0.0001,123.601
227.0,65.863383,0.0001,135.27
228.0,66.154063,0.0001,140.25
229.0,66.445935,0.0001,117.77
230.0,66.73649,0.0001,153.868
231.0,67.028679,0.0001,143.47
232.0,67.320421,0.0001,124.081
233.0,67.611783,0.0001,137.195
234.0,67.902806,0.0001,125.888
235.0,68.194015,0.0001,163.415
236.0,68.485081,0.0001,147.018
237.0,68.777187,0.0001,165.917
238.0,69.068325,0.0001,143.368
239.0,69.360246,0.0001,150.232
240.0,69.651085,0.0001,131.554
241.0,69.942586,0.0001,159.039
242.0,70.234294,0.0001,164.03
243.0,70.526769,0.0001,125.348
244.0,70.817558,0.0001,119.319
245.0,71.109433,0.0001,199.773
246.0,71.400733,0.0001,157.596
247.0,71.693065,0.0001,158.863
248.0,71.983367,0.0001,148.558
249.0,72.275459,0.0001,121.972
250.0,72.566586,0.0001,116.137
251.0,72.858983,0.0001,129.983
252.0,73.150166,0.0001,163.826
253.0,73.442002,0.0001,126.904
254.0,73.733002,0.0001,148.249
255.0,74.025151,0.0001,135.357
256.0,74.316308,0.0001,131.296
257.0,74.607588,0.0001,132.932
258.0,74.898033,0.0001,126.429
259.0,75.188662,0.0001,166.206
260.0,75.479693,0.0001,166.243
261.0,75.770241,0.0001,124.06
262.0,76.062571,0.0001,169.656
263.0,76.353314,0.0001,113.613
264.0,76.644201,0.0001,119.187
265.0,76.935564,0.0001,124.295
266.0,77.226889,0.0001,109.359
267.0,77.518411,0.0001,133.526
268.0,77.809453,0.0001,141.375
269.0,78.101143,0.0001,133.454
270.0,78.392387,0.0001,144.06
271.0,78.684504,0.0001,125.496
272.0,78.975182,0.0001,178.292
273.0,79.267278,0.0001,134.437
274.0,79.558464,0.0001,152.211
275.0,79.85056,0.0001,123.759
276.0,80.142197,0.0001,112.09
277.0,80.43414,0.0001,130.037
278.0,80.725119,0.0001,178.454
279.0,81.01752,0.0001,126.013
280.0,81.308378,0.0001,128.611
281.0,81.600461,0.0001,147.778
282.0,81.891463,0.0001,115.45
283.0,82.183403,0.0001,127.471
284.0,82.474267,0.0001,128.412
285.0,82.766314,0.0001,143.071
286.0,83.057344,0.0001,138.111
287.0,83.349197,0.0001,127.205
288.0,83.639798,0.0001,129.049
289.0,83.931285,0.0001,121.513
290.0,84.222197,0.0001,117.215
291.0,84.514624,0.0001,152.258
292.0,84.805714,0.0001,132.792
293.0,85.097872,0.0001,141.442
294.0,85.388093,0.0001,148.187
295.0,85.679023,0.0001,196.26
296.0,85.968967,0.0001,169.758
297.0,86.259847,0.0001,122.637
298.0,86.550742,0.0001,146.423
299.0,86.949244,0.0001,172.917
300.0,87.24054,0.0001,133.113
301.0,87.530992,0.0001,122.111
302.0,87.822553,0.0001,137.166
303.0,88.11421,0.0001,146.45
304.0,88.405707,0.0001,133.464
305.0,88.696701,0.0001,107.878
306.0,88.988899,0.0001,117.791
307.0,89.280122,0.0001,131.307
308.0,89.57201,0.0001,135.509
309.0,89.863245,0.0001,135.796
