NumIters,Seconds,LearningRate,l2_error
0.0,0.310069,0.0001,781.875
1.0,0.598056,0.0001,544.002
2.0,0.883535,0.0001,479.332
3.0,1.169735,0.0001,386.558
4.0,1.455274,0.0001,443.285
5.0,1.741349,0.0001,411.703
6.0,2.028209,0.0001,352.775
7.0,2.314158,0.0001,404.493
8.0,2.600907,0.0001,471.302
9.0,2.886899,0.0001,418.008
10.0,3.173724,0.0001,382.723
11.0,3.459212,0.0001,482.985
12.0,3.746569,0.0001,412.186
13.0,4.035343,0.0001,455.911
14.0,4.324189,0.0001,363.175
15.0,4.612548,0.0001,415.546
16.0,4.902176,0.0001,373.767
17.0,5.190879,0.0001,352.067
18.0,5.47998,0.0001,400.154
19.0,5.76913,0.0001,381.536
20.0,6.058702,0.0001,341.241
21.0,6.348078,0.0001,319.565
22.0,6.637477,0.0001,399.519
23.0,6.926276,0.0001,432.033
24.0,7.21564,0.0001,349.4
25.0,7.504121,0.0001,426.706
26.0,7.793656,0.0001,465.671
27.0,8.082994,0.0001,318.276
28.0,8.371737,0.0001,352.586
29.0,8.66022,0.0001,468.145
30.0,8.949157,0.0001,521.077
31.0,9.238738,0.0001,408.966
32.0,9.528448,0.0001,373.917
33.0,9.818939,0.0001,352.914
34.0,10.107718,0.0001,391.228
35.0,10.397697,0.0001,371.98
36.0,10.686572,0.0001,345.384
37.0,10.975446,0.0001,487.686
38.0,11.265042,0.0001,359.154
39.0,11.554175,0.0001,437.284
40.0,11.843735,0.0001,476.868
41.0,12.133051,0.0001,370.71
42.0,12.422576,0.0001,383.751
43.0,12.711675,0.0001,440.849
44.0,13.001005,0.0001,348.953
45.0,13.290211,0.0001,388.427
46.0,13.579961,0.0001,324.417
47.0,13.868176,0.0001,350.998
48.0,14.157688,0.0001,438.345
49.0,14.446862,0.0001,366.333
50.0,14.737077,0.0001,356.08
51.0,15.025842,0.0001,371.733
52.0,15.315701,0.0001,364.708
53.0,15.604713,0.0001,514.286
54.0,15.894117,0.0001,339.92
55.0,16.18298,0.0001,321.517
56.0,16.472627,0.0001,386.183
57.0,16.761596,0.0001,385.849
58.0,17.051236,0.0001,378.398
59.0,17.340269,0.0001,528.451
60.0,17.629815,0.0001,435.146
61.0,17.918409,0.0001,459.679
62.0,18.207476,0.0001,406.385
63.0,18.495718,0.0001,421.082
64.0,18.785081,0.0001,418.989
65.0,19.07451,0.0001,385.243
66.0,19.363763,0.0001,462.904
67.0,19.653606,0.0001,404.587
68.0,19.941752,0.0001,397.661
69.0,20.231603,0.0001,470.819
70.0,20.520751,0.0001,350.665
71.0,20.810665,0.0001,400.021
72.0,21.099849,0.0001,380.77
73.0,21.389169,0.0001,374.609
74.0,21.678557,0.0001,328.943
75.0,21.967661,0.0001,376.348
76.0,22.257063,0.0001,336.022
77.0,22.545879,0.0001,433.086
78.0,22.835187,0.0001,468.963
79.0,23.12395,0.0001,412.363
80.0,23.41378,0.0001,411.839
81.0,23.702365,0.0001,396.035
82.0,23.992208,0.0001,448.744
83.0,24.281067,0.0001,341.964
84.0,24.570736,0.0001,558.814
85.0,24.859213,0.0001,456.034
86.0,25.148917,0.0001,425.263
87.0,25.438051,0.0001,449.712
88.0,25.72745,0.0001,445.057
89.0,26.016577,0.0001,455.097
90.0,26.306306,0.0001,520.874
91.0,26.595331,0.0001,387.638
92.0,26.885016,0.0001,403.731
93.0,27.173775,0.0001,490.147
94.0,27.463815,0.0001,394.741
95.0,27.753452,0.0001,486.199
96.0,28.04267,0.0001,310.35
97.0,28.332028,0.0001,476.651
98.0,28.622103,0.0001,436.539
99.0,29.026171,0.0001,431.825
100.0,29.316626,0.0001,417.371
101.0,29.608229,0.0001,326.616
102.0,29.89985,0.0001,392.244
103.0,30.190727,0.0001,561.785
